"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","QGDP","TOT","PC_CHGPP","A","1962",5.707335407,
"OECD","QGDP","TOT","PC_CHGPP","A","1963",5.230267086,
"OECD","QGDP","TOT","PC_CHGPP","A","1964",6.37193033,
"OECD","QGDP","TOT","PC_CHGPP","A","1965",5.342185021,
"OECD","QGDP","TOT","PC_CHGPP","A","1966",5.783135054,
"OECD","QGDP","TOT","PC_CHGPP","A","1967",3.975959435,
"OECD","QGDP","TOT","PC_CHGPP","A","1968",5.933905374,
"OECD","QGDP","TOT","PC_CHGPP","A","1969",5.582738738,
"OECD","QGDP","TOT","PC_CHGPP","A","1970",3.951835004,
"OECD","QGDP","TOT","PC_CHGPP","A","1971",3.705925675,
"OECD","QGDP","TOT","PC_CHGPP","A","1972",5.477081338,
"OECD","QGDP","TOT","PC_CHGPP","A","1973",6.112337808,
"OECD","QGDP","TOT","PC_CHGPP","A","1974",1.048429641,
"OECD","QGDP","TOT","PC_CHGPP","A","1975",0.460427719,
"OECD","QGDP","TOT","PC_CHGPP","A","1976",4.909797141,
"OECD","QGDP","TOT","PC_CHGPP","A","1977",3.67855263,
"OECD","QGDP","TOT","PC_CHGPP","A","1978",4.425196762,
"OECD","QGDP","TOT","PC_CHGPP","A","1979",3.902379615,
"OECD","QGDP","TOT","PC_CHGPP","A","1980",1.283016873,
"OECD","QGDP","TOT","PC_CHGPP","A","1981",2.272172849,
"OECD","QGDP","TOT","PC_CHGPP","A","1982",0.212830298,
"OECD","QGDP","TOT","PC_CHGPP","A","1983",2.831309553,
"OECD","QGDP","TOT","PC_CHGPP","A","1984",4.775269135,
"OECD","QGDP","TOT","PC_CHGPP","A","1985",3.864061658,
"OECD","QGDP","TOT","PC_CHGPP","A","1986",2.894344925,
"OECD","QGDP","TOT","PC_CHGPP","A","1987",3.611327747,
"OECD","QGDP","TOT","PC_CHGPP","A","1988",4.602913239,
"OECD","QGDP","TOT","PC_CHGPP","A","1989",3.864938681,
"OECD","QGDP","TOT","PC_CHGPP","A","1990",3.21965627,
"OECD","QGDP","TOT","PC_CHGPP","A","1991",1.463373331,
"OECD","QGDP","TOT","PC_CHGPP","A","1992",2.252518842,
"OECD","QGDP","TOT","PC_CHGPP","A","1993",1.489010209,
"OECD","QGDP","TOT","PC_CHGPP","A","1994",3.021996069,
"OECD","QGDP","TOT","PC_CHGPP","A","1995",2.542587885,
"OECD","QGDP","TOT","PC_CHGPP","A","1996",3.159827457,
